cik,ticker,exchange,name,group,n_filings,first_filed,last_filed,price_from,price_to
310142,SXT,NYSE,SENSIENT TECHNOLOGIES CORP,listed,20,2018-02-23,2022-11-01,2018-02-23,2023-05-20
835324,SYBT,Nasdaq,"Stock Yards Bancorp, Inc.",listed,20,2018-03-13,2022-11-04,2018-03-13,2023-05-23
1601712,SYF,NYSE,Synchrony Financial,listed,20,2018-02-22,2022-10-25,2018-02-22,2023-05-13
310764,SYK,NYSE,STRYKER CORP,listed,20,2018-02-08,2022-11-01,2018-02-08,2023-05-20
817720,SYNA,Nasdaq,SYNAPTICS Inc,listed,20,2018-02-08,2022-11-03,2018-02-08,2023-05-22
96021,SYY,NYSE,SYSCO CORP,listed,20,2018-02-06,2022-11-02,2018-02-06,2023-05-21
732717,T,NYSE,AT&T INC.,listed,18,2018-05-03,2022-11-03,2018-05-03,2023-05-22
1803901,TALK,Nasdaq,"Talkspace, Inc.",listed,8,2021-03-29,2022-11-08,2021-03-29,2023-05-27
1724965,TALO,NYSE,TALOS ENERGY INC.,listed,18,2018-08-09,2022-11-03,2018-08-09,2023-05-22
24545,TAP-A,NYSE,MOLSON COORS BEVERAGE CO,listed,20,2018-02-14,2022-11-01,2018-02-14,2023-05-20
1819790,TARS,Nasdaq,"Tarsus Pharmaceuticals, Inc.",listed,9,2020-11-25,2022-11-09,2020-11-25,2023-05-28
1829864,TASK,Nasdaq,"TaskUs, Inc.",listed,6,2021-08-11,2022-11-08,2021-08-11,2023-05-27
96536,TAYD,Nasdaq,"TAYLOR DEVICES, INC.",listed,20,2018-01-12,2022-09-30,2018-01-12,2023-04-18
1295401,TBBK,Nasdaq,"Bancorp, Inc.",listed,20,2018-03-16,2022-11-09,2018-03-16,2023-05-28
1493761,TBCH,Nasdaq,Turtle Beach Corp,listed,20,2018-03-07,2022-11-14,2018-03-07,2023-06-02
768899,TBI,NYSE,"TrueBlue, Inc.",listed,20,2018-02-26,2022-10-24,2018-02-26,2023-05-12
1583107,TBPH,Nasdaq,"Theravance Biopharma, Inc.",listed,20,2018-02-28,2022-11-09,2018-02-28,2023-05-28
1077428,TCBI,Nasdaq,TEXAS CAPITAL BANCSHARES INC/TX,listed,16,2018-02-14,2022-10-20,2018-02-14,2023-05-08
356171,TCBK,Nasdaq,TRICO BANCSHARES /,listed,20,2018-03-01,2022-11-09,2018-03-01,2023-05-28
1781730,TCBX,NYSE,"Third Coast Bancshares, Inc.",listed,5,2021-12-22,2022-11-10,2021-12-22,2023-05-29
733590,TCI,NYSE,TRANSCONTINENTAL REALTY INVESTORS INC,listed,14,2018-04-02,2022-03-29,2018-04-02,2022-10-15
1027838,TCMD,Nasdaq,TACTILE SYSTEMS TECHNOLOGY INC,listed,20,2018-02-26,2022-11-07,2018-02-26,2023-05-26
1579684,TDAY,NYSE,"USA TODAY Co., Inc.",listed,20,2018-02-28,2022-11-03,2018-02-28,2023-05-22
816761,TDC,NYSE,TERADATA CORP /DE/,listed,20,2018-02-23,2022-11-08,2018-02-23,2023-05-27
1260221,TDG,NYSE,TransDigm Group INC,listed,20,2018-02-07,2022-11-10,2018-02-07,2023-05-29
1477449,TDOC,NYSE,"Teladoc Health, Inc.",listed,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
1484778,TDUP,Nasdaq,ThredUp Inc.,listed,7,2021-05-13,2022-11-14,2021-05-13,2023-06-02
98222,TDW,NYSE,TIDEWATER INC,listed,19,2018-05-15,2022-11-03,2018-05-15,2023-05-22
1094285,TDY,NYSE,TELEDYNE TECHNOLOGIES INC,listed,20,2018-02-27,2022-11-02,2018-02-27,2023-05-21
842023,TECH,Nasdaq,BIO-TECHNE Corp,listed,20,2018-02-08,2022-11-07,2018-02-08,2023-05-26
1385157,TEL,NYSE,TE Connectivity plc,listed,20,2018-01-24,2022-11-15,2018-01-24,2023-06-03
